tCluster18162.faa_947,tCluster8718.faa_1205,tCluster54491.faa_56,tCluster22806.faa_49,tCluster24773.faa_221,tCluster10034.faa_351,tCluster17245.faa_722,tCluster2925.faa_924,tCluster26921.faa_347,tCluster60355.faa_143,tCluster1659.faa_749,tCluster9241.faa_725,utCluster21594.faa_638,tCluster53953.faa_148,tCluster5299.faa_1552,tCluster45820.faa_307,tCluster9416.faa_615,tCluster20845.faa_389,tCluster13803.faa_54,tCluster8611.faa_1366,tCluster37803.faa_528,tCluster18537.faa_923,tCluster27525.faa_152,tCluster27824.faa_535,tCluster19980.faa_893,tCluster657.faa_2513,tCluster38554.faa_161,tCluster49952.faa_151,tCluster12457.faa_937,tCluster54571.faa_217,tCluster10981.faa_113,tCluster6604.faa_845,tCluster48831.faa_119,tCluster17302.faa_971,tCluster18141.faa_974,tCluster45862.faa_394,tCluster12457.faa_935,tCluster72290.faa_17,tCluster22287.faa_734,tCluster13335.faa_1055,tCluster13978.faa_887,tCluster758.faa_3114,tCluster49037.faa_46,tCluster12457.faa_947,tCluster16199.faa_477,tCluster24773.faa_185,tCluster33178.faa_207,resistant_phenotype
0,0,5,0,3,5,4,0,4,0,4,4,0,5,0,4,5,4,0,5,4,0,0,0,0,0,3,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,4,5,0,1
0,0,5,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,0,5,4,5,0,0,0,0,3,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,0,1
0,0,0,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,5,5,4,0,0,0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,0,1
0,5,0,0,4,0,4,0,4,0,4,4,0,0,0,4,0,3,0,5,4,0,0,0,0,2,4,4,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,4,4,0,1
0,0,5,0,4,0,4,0,4,0,4,4,0,0,0,4,0,3,0,5,4,5,0,0,0,0,3,4,0,0,4,0,4,4,0,0,0,0,0,4,0,0,0,0,4,4,0,1
0,0,5,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,0,5,4,0,4,0,0,0,3,4,0,2,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,0,1
0,0,5,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,0,5,4,5,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,0,1
0,0,5,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,0,5,4,5,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,5,4,0,1
0,0,5,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,0,5,4,0,0,0,0,0,4,4,0,0,4,3,5,4,0,0,0,0,0,4,0,0,0,0,4,4,0,1
0,0,5,0,4,0,4,0,4,0,0,4,0,0,0,4,0,3,0,5,4,0,0,0,0,0,4,4,0,0,4,3,5,4,0,0,0,0,0,4,0,0,0,0,4,4,0,1
